Model,Akurasi,Precision,Recall,F1 Score
Decision Tree dengan KNN train 90,0.6375,0.6225490196078431,0.6512820512820513,0.6365914786967418
Decision Tree dengan Rata-rata train 90,0.66,0.6482412060301508,0.6615384615384615,0.6548223350253807
Naive Bayes dengan KNN train 90,0.575,0.5683060109289617,0.5333333333333333,0.5502645502645502
Naive Bayes dengan Rata-rata train 90,0.5575,0.5517241379310345,0.49230769230769234,0.5203252032520326
KNN dengan KNN train 90,0.685,0.6419753086419753,0.8,0.7123287671232876
KNN dengan Rata-rata train 90,0.72,0.6812227074235808,0.8,0.7358490566037735
Decision Tree dengan KNN train 80,0.6225,0.6155555555555555,0.6822660098522167,0.647196261682243
Decision Tree dengan Rata-rata train 80,0.64875,0.6506024096385542,0.6650246305418719,0.6577344701583435
Naive Bayes dengan KNN train 80,0.55875,0.5791044776119403,0.47783251231527096,0.5236167341430499
Naive Bayes dengan Rata-rata train 80,0.55375,0.5753846153846154,0.4605911330049261,0.5116279069767442
KNN dengan KNN train 80,0.66625,0.6415478615071283,0.7758620689655172,0.7023411371237458
KNN dengan Rata-rata train 80,0.68375,0.6631130063965884,0.7660098522167488,0.7108571428571429
Decision Tree dengan KNN train 70,0.622185154295246,0.6134585289514867,0.6555183946488294,0.6337914308811641
Decision Tree dengan Rata-rata train 70,0.6180150125104253,0.612540192926045,0.637123745819398,0.6245901639344262
Naive Bayes dengan KNN train 70,0.5529608006672226,0.5593869731800766,0.4882943143812709,0.5214285714285715
Naive Bayes dengan Rata-rata train 70,0.5504587155963303,0.5581854043392505,0.47324414715719065,0.5122171945701357
KNN dengan KNN train 70,0.6655546288573811,0.6421356421356421,0.7441471571906354,0.6893880712625872
KNN dengan Rata-rata train 70,0.6622185154295246,0.6451127819548872,0.717391304347826,0.6793349168646081
